osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
252645,68,0,"Wuliwya Suyu",INT,BO,750,bo,BO,591,"{""area_sr"": 92.20359, ""area_km2"": 1086811, ""currency"": ""BOB"", ""fat_deg_m"": 0.0000092, ""official_name"": ""Estado Plurinacional de Bolivia"", ""side_estim_km"": 1042.5, ""iso3166_alpha3"": ""BOL"", ""side_estim_deg"": 9.6023, ""elongation_factor"": 1.82}"
405935,68,233169,Beni,BO,B,233169,beni,BO-B,,
396197,68,235110,Chuquisaca,BO,H,235110,chuquisaca,BO-H,,
393562,68,233917,Cochabamba,BO,C,233917,cochabamba,BO-C,,
400473,68,272784,"La Paz",BO,L,272784,la.paz,BO-L,,
395910,68,1061368,Oruro,BO,O,1061368,oruro,BO-O,,
3358584,68,235362,Pando,BO,N,235362,pando,BO-N,,
4509552,68,238079,Potosí,BO,P,238079,potosi,BO-P,,
3360565,68,235106,"Santa Cruz",BO,S,235106,santa.cruz,BO-S,,
396198,68,233933,Tarija,BO,T,233933,tarija,BO-T,,
4123549,68,45,Acasio,P,,1477964,acasio,BO-P-Acasio,,
4500356,68,168,Achacachi,L,,1819965,achacachi,BO-L-Achacachi,,
4499868,68,163,Achocalla,L,,1552057,achocalla,BO-L-Achocalla,,
4506120,68,244,Aiquile,C,,1521142,aiquile,BO-C-Aiquile,,
4506107,68,241,Alalay,C,,1521154,alalay,BO-C-Alalay,,
4499791,68,154,"Alto Beni",L,,1952850,alto.beni,BO-L-AltoBeni,,
4500357,68,169,Ancoraimes,L,,224511,ancoraimes,BO-L-Ancoraimes,,
4495077,68,130,Antequera,O,,647847,antequera,BO-O-Antequera,,
4505759,68,219,Anzaldo,C,,1516966,anzaldo,BO-C-Anzaldo,,
4499594,68,138,Apolo,L,,2307341,apolo,BO-L-Apolo,,
4123465,68,61,Arampampa,P,,1477973,arampampa,BO-P-Arampampa,,
4505812,68,249,Arani,C,,1816566,arani,BO-C-Arani,,
4505763,68,220,Arbieto,C,,1516960,arbieto,BO-C-Arbieto,,
4505715,68,216,Arque,C,,1521216,arque,BO-C-Arque,,
4511239,68,281,"Ascencion de Guarayos",S,,721682,ascencion.guarayos,BO-S-AscencionGuarayos,,
4137627,68,67,Atocha,P,,1477927,atocha,BO-P-Atocha,,
4499718,68,143,Aucapata,L,,287053,aucapata,BO-L-Aucapata,,
4495038,68,114,Aullagas,O,,647728,aullagas,BO-O-Aullagas,,
4499719,68,144,Ayata,L,,1544657,ayata,BO-L-Ayata,,
4500834,68,189,"Ayo Ayo",L,,490965,ayo.ayo,BO-L-AyoAyo,,
4505604,68,209,Ayopaya,C,,1485787,ayopaya,BO-C-Ayopaya,,
4500399,68,27,Batallas,L,,631626,batallas,BO-L-Batallas,,
4056838,68,23,Baures,B,,1814580,baures,BO-B-Baures,,
4050084,68,34,"Bella Flor",N,,198360,bella.flor,BO-N-BellaFlor,,
4495026,68,126,"Belén de Andamarca",O,,647861,belen.andamarca,BO-O-BelenAndamarca,,
4509723,68,270,Bermejo,T,,328294,bermejo,BO-T-Bermejo,,
4128143,68,81,Betanzos,P,,1477951,betanzos,BO-P-Betanzos,,
4505716,68,217,Bolivar,C,,1952875,bolivar,BO-C-Bolivar,,
4050264,68,38,Bolpebra,N,,198353,bolpebra,BO-N-Bolpebra,,
4511356,68,297,Boyuibe,S,,515092,boyuibe,BO-S-Boyuibe,,
3381198,68,20,"Buena Vista",S,,1001758,buena.vista,BO-S-BuenaVista,,
4511357,68,298,Cabezas,S,,1024796,cabezas,BO-S-Cabezas,,
4502103,68,193,Cairoma,L,,1552096,cairoma,BO-L-Cairoma,,
4128593,68,83,"Caiza D",P,,637609,caiza.d,BO-P-CaizaD,,
4502179,68,198,Cajuata,L,,1544600,cajuata,BO-L-Cajuata,,
4500783,68,179,Calacoto,L,,1409686,calacoto,BO-L-Calacoto,,
4500831,68,186,Calamarca,L,,490962,calamarca,BO-L-Calamarca,,
4509376,68,256,Camargo,H,,1141966,camargo,BO-H-Camargo,,
4511358,68,299,Camiri,S,,1029614,camiri,BO-S-Camiri,,
4505765,68,221,Capinota,C,,1730823,capinota,BO-C-Capinota,,
4500784,68,180,Caquiaviri,L,,917595,caquiaviri,BO-L-Caquiaviri,,
4494694,68,104,Caracollo,O,,647907,caracollo,BO-O-Caracollo,,
4499792,68,155,Caranavi,L,,916357,caranavi,BO-L-Caranavi,,
4494972,68,124,Carangas,O,,647761,carangas,BO-O-Carangas,,
4509724,68,271,Caraparí,T,,328289,carapari,BO-T-Carapari,,
4123740,68,63,Caripuyo,P,,1477999,caripuyo,BO-P-Caripuyo,,
4511326,68,13,"Carmen Rivero Torrez",S,,1108271,carmen.rivero.torrez,BO-S-CarmenRiveroTorrez,,
4500609,68,177,Catacora,L,,1501710,catacora,BO-L-Catacora,,
4502215,68,204,Chacarilla,L,,743427,chacarilla,BO-L-Chacarilla,,
4495088,68,133,Challapata,O,,647865,challapata,BO-O-Challapata,,
4128144,68,65,Chaquí,P,,637599,chaqui,BO-P-Chaqui,,
4511359,68,300,Charagua,S,,598031,charagua,BO-S-Charagua,,
4499610,68,140,Charazani,L,,1544495,charazani,BO-L-Charazani,,
4500785,68,181,Charaña,L,,428293,charana,BO-L-Charana,,
4126927,68,64,Chayanta,P,,1784443,chayanta,BO-P-Chayanta,,
4505885,68,236,Chimore,C,,1521093,chimore,BO-C-Chimore,,
4494864,68,117,Chipaya,O,,647818,chipaya,BO-O-Chipaya,,
4494773,68,109,Choquecota,O,,647829,choquecota,BO-O-Choquecota,,
4500358,68,170,"Chua Cocani",L,,1952923,chua.cocani,BO-L-ChuaCocani,,
4499811,68,156,Chulumani,L,,1552034,chulumani,BO-L-Chulumani,,
4499720,68,145,Chuma,L,,1552008,chuma,BO-L-Chuma,,
4505781,68,226,Cliza,C,,1295948,cliza,BO-C-Cliza,,
4050223,68,35,Cobija,N,,198367,cobija,BO-N-Cobija,,
4505603,68,208,Cocapata,C,,1147245,cocapata,BO-C-Cocapata,,
4503297,68,207,Cochabamba,C,,1952931,cochabamba,BO-C-Cochabamba,,
4494865,68,118,Coipasa,O,,647739,coipasa,BO-O-Coipasa,,
4505696,68,41,Colcapirhua,C,,1521197,colcapirhua,BO-C-Colcapirhua,,
4137592,68,88,"Colcha K",P,,475470,colcha.k,BO-P-ColchaK,,
4500832,68,187,Collana,L,,490945,collana,BO-L-Collana,,
4505642,68,211,Colomi,C,,1521204,colomi,BO-C-Colomi,,
4511496,68,318,"Colpa Bélgica",S,,1108206,colpa.belgica,BO-S-ColpaBelgica,,
4126993,68,72,Colquechaca,P,,933162,colquechaca,BO-P-Colquechaca,,
4500833,68,188,Colquencha,L,,490983,colquencha,BO-L-Colquencha,,
4502180,68,199,Colquiri,L,,1544551,colquiri,BO-L-Colquiri,,
4500786,68,182,Comanche,L,,534012,comanche,BO-L-Comanche,,
4511408,68,307,Comarapa,S,,1108148,comarapa,BO-S-Comarapa,,
4499780,68,148,Combaya,L,,1585114,combaya,BO-L-Combaya,,
4511254,68,284,Concepción,S,,751077,concepcion,BO-S-Concepcion,,
4499823,68,160,Coripata,L,,1303284,coripata,BO-L-Coripata,,
4500787,68,183,"Coro Coro",L,,60497352,coro.coro,BO-L-CoroCoro,,
4499824,68,161,Coroico,L,,1552069,coroico,BO-L-Coroico,,
4494774,68,110,Corque,O,,647881,corque,BO-O-Corque,,
4137628,68,68,Cotagaita,P,,637643,cotagaita,BO-P-Cotagaita,,
4511523,68,328,Cotoca,S,,603654,cotoca,BO-S-Cotoca,,
4494820,68,111,"Cruz de Machacamarca",O,,647771,cruz.machacamarca,BO-O-CruzMachacamarca,,
4511272,68,2,"Cuatro Cañadas",S,,1142846,cuatro.canadas,BO-S-CuatroCanadas,,
4505799,68,227,Cuchumuela,C,,1521224,cuchumuela,BO-C-Cuchumuela,,
4511360,68,301,Cuevo,S,,1143259,cuevo,BO-S-Cuevo,,
4509404,68,260,Culpina,H,,637538,culpina,BO-H-Culpina,,
4482219,68,98,"Curahuara de Carangas",O,,614715,curahuara.carangas,BO-O-CurahuaraCarangas,,
4499611,68,141,Curva,L,,1544505,curva,BO-L-Curva,,
4500574,68,31,Desaguadero,L,,1952961,desaguadero,BO-L-Desaguadero,,
4499832,68,162,"El Alto",L,,955745,el.alto,BO-L-ElAlto,,
4494716,68,106,"El Choro",O,,647796,el.choro,BO-O-ElChoro,,
4511240,68,282,"El Puente",S,,1324520,el.puente,BO-S-ElPuente,,
4511524,68,329,"El Torno",S,,1108171,el.torno,BO-S-ElTorno,,
4507932,68,293,"El Villar",H,,1142208,el.villar,BO-H-ElVillar,,
4509725,68,272,"Entre Rios",T,,15121209,entre.rios,BO-T-EntreRios,,
4505884,68,235,"Entre Ríos",C,,636059,entre.rios,BO-C-EntreRios,,
4494821,68,112,Escara,O,,647895,escara,BO-O-Escara,,
4499651,68,142,Escoma,L,,1952964,escoma,BO-L-Escoma,,
4494822,68,113,Esmeralda,O,,174806,esmeralda,BO-O-Esmeralda,,
4494640,68,103,Eucaliptus,O,,1016533,eucaliptus,BO-O-Eucaliptus,,
3365948,68,15,Exaltación,B,,1814613,exaltacion,BO-B-Exaltacion,,
4511508,68,321,"Fernández Alonso",S,,371664,fernandez.alonso,BO-S-FernandezAlonso,,
4050224,68,36,Filadelfia,N,,198391,filadelfia,BO-N-Filadelfia,,
4511509,68,322,"General Saavedra",S,,993949,general.saavedra,BO-S-GeneralSaavedra,,
4499781,68,149,Guanay,L,,1551023,guanay,BO-L-Guanay,,
4500575,68,32,Guaqui,L,,1118260,guaqui,BO-L-Guaqui,,
4054846,68,49,Guayaramerín,B,,1487963,guayaramerin,BO-B-Guayaramerin,,
4511361,68,302,Gutiérrez,S,,1108247,gutierrez,BO-S-Gutierrez,,
4056859,68,24,Huacaraje,B,,1814588,huacaraje,BO-B-Huacaraje,,
4509405,68,261,Huacaya,H,,1141996,huacaya,BO-H-Huacaya,,
4494823,68,102,Huachacalla,O,,647800,huachacalla,BO-O-Huachacalla,,
4495052,68,129,Huanuni,O,,647811,huanuni,BO-O-Huanuni,,
